dteday,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_category,temp_category,cnt_binned,temp_binned
2011-01-01,1,1,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,Low,Cold,Low,Cold
2011-01-01,2,1,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,Low,Cold,Low,Cold
2011-01-01,3,1,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,Low,Cold,Low,Cold
2011-01-01,4,1,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,Low,Cold,Low,Cold
2011-01-01,5,1,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,Low,Cold,Low,Cold
2011-01-01,6,1,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,Low,Cold,Low,Cold
2011-01-01,7,1,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,Low,Cold,Low,Cold
2011-01-01,8,1,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Low,Cold,Low,Cold
2011-01-01,9,1,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,Low,Cold,Low,Cold
2011-01-01,10,1,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Low,Mild,Low,Mild
2011-01-01,11,1,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,Low,Mild,Low,Mild
2011-01-01,12,1,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,Medium,Mild,Medium,Mild
2011-01-01,13,1,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,Medium,Mild,Medium,Mild
2011-01-01,14,1,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,Medium,Mild,Medium,Mild
2011-01-01,15,1,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,Medium,Mild,Medium,Mild
2011-01-01,16,1,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,Medium,Mild,Medium,Mild
2011-01-01,17,1,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,Medium,Mild,Medium,Mild
2011-01-01,18,1,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,Medium,Mild,Medium,Mild
2011-01-01,19,1,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,Low,Mild,Low,Mild
2011-01-01,20,1,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,Low,Mild,Low,Mild
2011-01-01,21,1,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Low,Mild,Low,Mild
2011-01-01,22,1,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Low,Mild,Low,Mild
2011-01-01,23,1,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Low,Mild,Low,Mild
2011-01-01,24,1,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,Low,Mild,Low,Mild
2011-01-02,25,1,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,Low,Mild,Low,Mild
2011-01-02,26,1,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,Low,Mild,Low,Mild
2011-01-02,27,1,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,Low,Mild,Low,Mild
2011-01-02,28,1,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,Low,Mild,Low,Mild
2011-01-02,29,1,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,Low,Mild,Low,Mild
2011-01-02,30,1,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,Low,Mild,Low,Mild
2011-01-02,31,1,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Low,Mild,Low,Mild
2011-01-02,32,1,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Low,Mild,Low,Mild
2011-01-02,33,1,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,Low,Mild,Low,Mild
2011-01-02,34,1,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Medium,Mild,Medium,Mild
2011-01-02,35,1,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,Medium,Mild,Medium,Mild
2011-01-02,36,1,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,Medium,Mild,Medium,Mild
2011-01-02,37,1,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,Medium,Mild,Medium,Mild
2011-01-02,38,1,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Medium,Mild,Medium,Mild
2011-01-02,39,1,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,Medium,Mild,Medium,Mild
2011-01-02,40,1,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,Medium,Mild,Medium,Mild
2011-01-02,41,1,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Medium,Mild,Medium,Mild
2011-01-02,42,1,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,Medium,Mild,Medium,Mild
2011-01-02,43,1,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Low,Mild,Low,Mild
2011-01-02,44,1,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,Low,Mild,Low,Mild
2011-01-02,45,1,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,Low,Mild,Low,Mild
2011-01-02,46,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,Low,Cold,Low,Cold
2011-01-02,47,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,Low,Cold,Low,Cold
2011-01-03,48,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,Low,Cold,Low,Cold
2011-01-03,49,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Low,Cold,Low,Cold
